Course,Name,Description,Notes,Prerequisites,Corequisites,Antirequisites
ARBUS101,"Introduction to Business in North America","The functional areas of business: finance, personnel administration, production, marketing, and accounting are examined within differing organizational structures. Coverage also includes study of the principles of effective management and the financial system as a source of corporate capital.","","Prereq: Arts and Business students.","","Antireq: AFM 132, BUS 111W"
ARBUS102,"Accounting Information for Managers","This course is designed for non-accountants who will use accounting information for planning, control, and decision-making.","","Prereq: Arts and Business students.","","Antireq: AFM 101, 102, BUS 127W/227W, 247W, MSCI 262"
ARBUS200,"Entrepreneurship Principles and Practices","The role of the entrepreneur, the entrepreneurial firm, and the creative society are examined. Students are exposed to the practices that enable workplace creativity and innovation with exposure to leadership theory and project management. ","[Note: Additional fee may be required.]","Prereq: ECON 101; Level at least 2A Arts and Business students and Management Studies students.","","Antireq: MGMT 220/ECON 220, ARBUS 200 taken prior to fall 2013, ENBUS 203"
ARBUS202,"Professional and Business Ethics","Study of ethical and moral issues that typically arise in professional and business activity. What responsibilities to society at large do people in such business and professional activities as teaching, engineering, planning, architecture, and accounting have? How far should professional autonomy extend?","","Prereq: Arts and Business students","",""
ARBUS300,"Practical Business Skills","This course will introduce students to important and relevant business skills that will assist them as they prepare for successful careers. The course will supplement contemporary theories with appropriate case studies.","","Prereq: ARBUS 200; Level at least 3A Arts and Business students and Management Studies students","",""
ARBUS301,"International Business","This course examines the opportunities, risks, and challenges faced by businesses in international markets, as well as the preparation required to operate them.","","Prereq: ARBUS 101 or AFM 132; Level at least 3A Arts and Business students","",""
ARBUS302,"Principles of Marketing","This course is designed to provide a broad understanding of the field of marketing, including consumer behaviour, segmentation, targeting, positioning, branding, and the marketing mix. Students will gain an understanding of how organizations identify the needs of potential consumers and create and deliver value to these consumers through the marketing process.","","Prereq: ECON 101; Level at least 2B Arts and Business students.","","Antireq: BUS 352W, ECON/MGMT 344/ARBUS 302, ENBUS 211/311, GBDA 304"
ARBUS303,"Marketing Strategy","Building on the fundamentals introduced in Principles of Marketing, students are given an opportunity to apply these concepts to real world situations in an interactive learning environment. Using cases and simulated markets, students make strategic decisions, defend their decisions, and see the repercussions in real time.","","Prereq: ECON 344/MGMT 244/ARBUS 302 or ENBUS 211/311; Level at least 3A Arts and Business students.","","Antireq: BUS 352W, ECON 345/ARBUS 303, ENBUS 211/311, GBDA 304"
ARBUS400,"Strategy and Program Integration","A capstone course designed to integrate the arts and business components of the program that incorporate the principles of strategy for the purpose of enabling students to effectively position themselves for opportunities after graduation. ","[Note: Additional fee required.]","Prereq: ARBUS 300","",""
BIOL110,"Biodiversity, Biomes, and Evolution","A survey of organisms that inhabit a range of aquatic and terrestrial ecosystems (e.g., coral reefs, lakes, forests). Through a lens of evolution this course focuses on how life has adapted to physical conditions, interactions with neighbouring organisms, and the influence of flora and fauna on the world we inhabit. Evolutionary and ecological frameworks will be used to explore how organisms diversify and are considered distinct species. Developing hypotheses, collecting and analyzing data, and determining how to best communicate results will be carried out. [Offered: F]","","Prereq: Not open to Faculty of Environment students","",""
BIOL130,"Introductory Cell Biology","An introduction to the concepts of cell biology with emphasis on (1) the structural organization of the cell and (2) the function of critical molecular processes that are characteristic of living organisms. ","[Note: BIOL 130L may be required for entrance to certain professional/graduate programs. Offered: F,W]","","",""
BIOL130L,"Cell Biology Laboratory","Experiments to study the principles of cell biology that are elaborated in BIOL 130.  [Offered:  F,S]","","","Coreq: BIOL 130.","Antireq: BIOL 230"
BIOL150,"Organismal and Evolutionary Ecology","This course provides students with an introduction to the basic principles of scientific reasoning, ecology, and evolution. Coverage includes hypothesis testing and the nature of scientific inquiry, basic population genetics, physiological ecology, life histories, dispersal, basic population and community ecology, macroevolution, systematics and classification, as well as functional morphology. [Offered: F]","","","","Antireq: BIOL 251"
BIOL165,"Diversity of Life","An introduction to the diversity of living organisms from simple prokaryotes to complex eukaryotes.  Current ideas on classification and phylogeny will be compared with traditional schemes.  Morphology, ecology, and economic uses of representative Phyla and Divisions will be discussed. [Formerly BIOL 265. Offered: W]","","","",""
BIOL201,"Human Anatomy","This course takes a systems approach to study the structure of the human body and its relationship to function. [Formerly BIOL 301; Offered: F]","","Prereq: BIOL 130","",""
BIOL211,"Introductory Vertebrate Zoology","An introduction to the structure, evolution and development of vertebrate organ systems. [Offered: W]","","","",""
BIOL220,"Introduction to Plant Structure and Function","An introduction to plant diversity, and the anatomy and physiology of vascular plants. The course will include a description of major cell and tissue types, and their organization in roots, stems, and leaves. Topics such as the processes of water and ion uptake, photosynthesis, long distance transport, and growth regulation will also be covered. ","[Note: Formerly BIOL 120; Offered: W]","","","Antireq: BIOL 120"
BIOL225,"Plants and Civilization","This course examines the importance of plants and the role they have in the local and global community. It introduces students to the impact of plants on the past, present and future of human civilization and describes the importance of plants as sources of food, medicine, fuel, shelter, clothing and psychoactive agents. Topics include medicinal plants and human health, the origin of agricultural crops, plants that changed the course of history, plant-based biofuels, the green revolution, plant biotechnology and genetic engineering of plants. [Offered: F]","","","",""
BIOL239,"Genetics","Mendelian genetics. Chromosomal mechanisms in mitosis and meiosis. The origin, inheritance and adaptive significance of chromosomal changes. Nucleic acids as the carriers of genetic information. Natural selection and the evolution of genetic systems. [Formerly BIOL 139. Offered: W,S; online F]","","","",""
BIOL240,"Fundamentals of Microbiology","Introduction to the biology of bacterial and archaeal organisms. Topics include cell structure and function, methods of cultivation, genetics, phylogeny and taxonomy, and metabolic and genetic diversity. ","[Note: BIOL 240L must be completed before taking BIOL 241. BIOL 240L may be required for entrance to certain professional/graduate programs. Formerly BIOL 140. Offered: F; online W, S]","","",""
BIOL240L,"Microbiology Laboratory","Experiments to study the principles of microbiology that are elaborated in BIOL 240.  [Formerly BIOL 140L. Offered: F,S]","","","Coreq: BIOL 140/240",""
BIOL241,"Introduction to Applied Microbiology","Introduction to microbial ecology, environmental microbiology, food microbiology, and medical microbiology. Topics in environmental microbiology include biogeochemical cycling and biological treatment of wastes and pollutants. Topics in medical microbiology include concepts of immunology and host-parasite relationships. [Offered: W,S]","","Prereq: BIOL 140/240 and 140/240L","",""
BIOL251,"Fundamentals of Ecology","This course provides students with an introduction to the breadth of the ecology discipline. It covers hypothesis testing and the nature of scientific inquiry, organismal, population, community, and ecosystem levels of ecology. [Offered: F]","","Prereq: BIOL 110 or 2A Faculty of Environment students.","","Antireq: BIOL 150"
BIOL266,"Introduction to Computational Biology","This course provides an introduction to computational methods in biology, including exploration of bioinformatics databases and tools, analysis of protein and DNA sequences, and computer-aided modelling of biological systems. Labs will include practical experience applying computational tools to biological problems. ","[Note: Formerly BIOL 366. Offered: F]","Prereq: BIOL 130.","","Antireq: BIOL 366"
BIOL273,"Principles of Human Physiology 1","The physiology of major organ systems of the human body. Topics include neurophysiology and peripheral nervous system, muscle, the cardiovascular system, the components of blood, respiratory system, and immune system. The combination of BIOL 273 and BIOL 373 covers all of the major topics of human physiology. ","[Note: BIOL 373L may be required for entrance to certain professional/graduate programs. Offered: F, W and online S]","Prereq: BIOL 130","",""
BIOL280,"Introduction to Biophysics","Introduction to a physical understanding of biological systems at macro and molecular scales. The course is intended for second-year science and engineering students and will cover a broad spectrum of topics in biophysics, as well as an introduction to neurobiology, nanotechnology, and biotechnology. [Offered: W,S]","","Prereq: Level at least 2A Honours Science or Engineering plans","",""
BIOL302,"Functional Histology","A hierarchical approach to biological structure with an emphasis on functional morphology.  Starting with the cell, the fundamental unit of structure and function, the material progressively develops how cells organize to form tissues such as epithelium, connective tissue and muscle.  Emphasis on how these tissue building blocks cooperate to form the major organs and organ systems of the human body. [Offered: W]","","Prereq: BIOL 130, 273","",""
BIOL303,"Introductory Developmental Biology and Embryology","Fundamental processes and concepts in embryonic development including the acquisition of multicellularity, organization of the early embryo, morphogenesis of tissues, major organ systems, fetal membranes, growth, differentiation, and analysis of common developmental defects. [Offered: F,S]","","Prereq: BIOL 130, 139/239","",""
BIOL308,"Principles of Molecular Biology","Prokaryote and eukaryote genome structure and replication; mechanisms of gene expression and regulation. ","[Note: BIOL 240 is recommended. BIOL 308 is recommended for those wishing a general understanding in molecular biology. Students intending to take several upper year molecular biology courses are advised to take BIOL 308 and BIOL 309 concurrently. BIOL 308 is required as a prerequisite for the following courses: BIOL 331, 403, 428, 431, 434, 438, 441, 442, 448. Offered: F, S]","Prereq: BIOL 130, 139/239","",""
BIOL309,"Analytical Methods in Molecular Biology","An introduction to molecular methods used to analyze the structure of genes and genomes, including DNA sequencing, cloning, restriction mapping and bioinformatic tools. Techniques to monitor transcript and protein abundance, protein-protein and DNA-protein interactions will also be covered. ","[Note: BIOL 240 is recommended. BIOL 309 is recommended for students intending to take upper year molecular biology courses.  BIOL 309 is a required prerequisite for: BIOL 331, 342, 335L, 428, 431, 434, 438. Formerly BIOL 208. Offered: F,S]","Prereq: BIOL 130, 139/239","",""
BIOL310,"Invertebrate Zoology","The diversity of invertebrate animals will be explored in this class. Topics covered will include reproduction, development, life history, feeding, locomotion, and behaviour. [Offered: F]","","Prereq: BIOL 110 or 165","",""
BIOL312,"The Natural History of Aquatic Organisms","This course will introduce students to the diversity of freshwater organisms and their habitats. Emphasis will be placed on sampling techniques, taxonomic identification, life histories, and adaptations to aquatic environments. The course will introduce students to the use of aquatic organisms in environmental impact and biodiversity assessments. Students must be prepared to work outdoors in potentially inclement weather. ","[Note: A field trip fee of $60 is required toward the cost of transportation; Offered: S]","Prereq: BIOL 110 or 165; BIOL150 or 251","",""
BIOL323,"Plant Physiology","A study of plant physiological processes with an emphasis on the role of key metabolic pathways in plant growth and development. Topics such as photosynthesis, nitrogen assimilation, growth regulators, mineral nutrition, water relations, and stress physiology will be covered.  [Offered: F]","","Prereq: BIOL 120/220, 130","",""
BIOL325,"Flowering Plants","A study of floral morphology in relation to classification and evolution. An introduction to taxonomy and nomenclature. History of taxonomy. Systems of classification. Mechanisms of pollination. [Offered: F]","","","",""
BIOL331,"Advanced Cell Biology","The functional organization of cells with particular reference to cell-cell interaction, the structure, function and development of organelles and the biological roles of cellular membranes. [Offered: W]","","Prereq: BIOL 308 or 309; CHEM 233 or 237; (BIOL 308 or BIOL 309) and co-req CHEM 233 or CHEM 237 for Science and Business/Biotechnology Specialization or Honours Biotechnology/Economics or CS Honours Bioinformatics","",""
BIOL335L,"Molecular Biology Techniques","Selected experiments to provide students with a range of laboratory skills in recombinant DNA technology. ","[Note: Students in the Molecular Biology and Biotechnology Specialization are encouraged to take this course unless they have previous laboratory experience involving molecular biology techniques. Offered: F,W]","Prereq: BIOL 240L.","Coreq: BIOL 309",""
BIOL341,"Fundamentals of Immunology","This course will provide students with an understanding of the fundamental concepts of the vertebrate immune system. Topics will focus on the components of the immune system, innate and adaptive immunity, immune cell development, communication, and recognition of non-self leading to animmune response. [Offered: W]","","Prereq: BIOL 140/240, 140/240L, (241 or 273).","","Antireq: BIOL 441 prior to Spring 2015"
BIOL342,"Molecular Biotechnology 1","Molecular biotechnology applies the principles of recombinant DNA technology (genetic engineering, gene cloning) to the development of commercial products. The methods of recombinant DNA technology, molecular diagnostic systems for detecting diseases and transgenic organisms will be discussed. ","[Note: Recommended prerequisite BIOL 241.  It is recommended that BIOL 342 be taken after completion of second year. Offered: F]","Prereq: BIOL 140/240, BIOL 208/309","",""
BIOL345,"Microorganisms in Foods","Food preservation, spoilage, poisoning and modern concepts in quality assurance programs are studied. The aim is to understand factors governing microbial changes in foods. Problem solving in the food industry is emphasized. Laboratory work will reflect current practices in quality control and testing. [Offered: F]","","Prereq: BIOL 140/240, 140L/240L, 241","",""
BIOL346,"Microbial Ecology and Diversity","Examples from terrestrial and aquatic ecosystems, and plant- and animal-associated environments, will be used to illustrate the activities and diversity of microorganisms in these habitats. The importance of the ecological roles of microbes to aspects of agriculture, geochemistry, human biology, and the biology of extreme environments will be considered. [Offered: W]","","Prereq: BIOL 140/240, 140L/240L, 241","",""
BIOL348L,"Laboratory Methods in Microbiology","Selected experiments to provide students with a range of laboratory skills in microbiology. [Offered: W]","","Prereq: BIOL 140/240, 140L/240L, 241","",""
BIOL349,"Synthetic Biology Project Design","Synthetic biology involves developing new approaches, based on engineering principles, for genetic engineering of biological systems. Students will prepare a comprehensive research proposal for a synthetic biology project of their own design, under the supervision of a faculty member. Attendance at a weekly journal club focused on synthetic biology will be mandatory. [Offered: F,W,S].","Instructor Consent Required","Prereq: Level at least 3A","",""
BIOL350,"Ecosystem Ecology","This course provides an overview of the dynamic interactions among microbes, plants, animals and their physical environment with emphasis on ecosystem structure and function. Topics include the hydrological cycle, biogeochemical cycling, ecological energetics, roles of population and community interactions, paleoecology and current topics in ecosystem science. [Offered: F]","","Prereq: One of BIOL 150, 251, ENVS 200","",""
BIOL351,"Aquatic Ecology","Study of the structure and function of lake and stream ecosystems. The course emphasizes biological components and processes, but includes the origin and nature of lake and stream systems and the fundamentals of surface water chemistry and physics. Human influences, management options and current issues will be examined with readings and project work. [Offered: W]","","Prereq: BIOL 150 or 251; One of BIOL 110, 120/220, 165","",""
BIOL354,"Environmental Toxicology 1","An introduction to the basic theories, principles and techniques of environmental toxicology. A comparative study of the effects of specific groups of toxicants on ecosystems; biodegradation and cycling. [Offered: F,S]","","Prereq: One of CHE 102, CHEM 120, 121","",""
BIOL355,"Biology of Human Aging","An overview of current aspects of the biology of human aging and the functional changes associated with both normal aging and pathological problems often present in the elderly. Biological theories of aging and normal age-related structural and physiological changes on all of the major body systems will be discussed.  Extrinsic factors such as diet and exercise and their role on the aging process will be examined as well as various medical treatments. [Offered:  W]","","Prereq: BIOL 130","",""
BIOL359,"Evolution 1: Mechanisms","A study of the processes of evolution; the differentiation of populations and the origin of new forms of life. [Offered: F, W; online S]","","Prereq: BIOL 139/239 or Level at least 3A Environment and Resource students","",""
BIOL360,"Evolution 2: Fossil Record","An overview of the origin of life, how it evolved and diversified, modern principles of paleontology with particular emphasis on analytical tools to interpret ancient life forms. Patterns, processes of evolution and paleoecology of key groups of microfossils, invertebrates, plants, vertebrates and their trace fossils.  [Offered: W]","","Prereq: One of EARTH 121, CIVE/ENVE/GEOE 153, BIOL 359","",""
BIOL361,"Biostatistics and Experimental Design","An introduction to hypothesis testing and experimental design in biology. Topics will include exploratory data analysis, analysis of variance, categorical data analysis, correlation, linear regression, multiple linear regression, power analysis, visualization tools, and statistical software. [Offered: W]","","Prereq: One of STAT 202, ECON 221, ENVS 278.","","Antireq: PSYCH 391, STAT 332"
BIOL364,"Mathematical Modelling in Biology","An introduction to the mathematical modelling of biological processes using a variety of techniques including linear difference models, ordinary differential equations, and Markov models. Modelling applications ranging from genetics to ecosystem biology will be addressed. [Offered: F]","","Prereq: One of  MATH 116,127,137,147; Level at least 3A","",""
BIOL365,"Methods in Bioinformatics","This course covers bioinformatics methods with an emphasis on analysis of high-throughput `-omics data. Topics include analysis of genome-scale gene and protein expression, construction of species and gene trees from molecular sequence data, and analysis of biological systems using bioinformatics tools. Included will be practical experience with bioinformatics tools and datasets.[Offered: W]","","Prereq: BIOL 239; One of BIOL 266, CHEM 140, CS 116, CS 136","",""
BIOL370,"Comparative Animal Physiology: Environmental Aspects","A comparative study of salt and water balance, circulation, respiratory systems, nitrogenous excretion, and mechanisms of energy acquisition and metabolism in animals. Adaptations to different environments will be emphasized. [Offered: F]","","Prereq: BIOL 110 or 211; BIOL 273","",""
BIOL371,"Comparative Animal Physiology:  Evolutionary Themes","A comparative study of neural, sensory, endocrine, digestive, and reproductive strategies across animal taxa. The emphasis will be on evolutionary themes at the organismal, cellular, and molecular levels. [Offered: W]","","Prereq: BIOL 110 or 211; BIOL 273","",""
BIOL373,"Principles of Human Physiology 2","The physiology of major organ systems of the human body. Topics include the central nervous system, the sense organs, the digestive system, the endocrine system, the reproductive system, and the excretory system. [Offered: W]","","Prereq: BIOL 273","",""
BIOL373L,"Human Physiology Laboratory","Laboratory exercises to study the principles of human physiology. [Offered: W]","","","Coreq: BIOL 373.","Antireq: BIOL 273L"
BIOL376,"Cellular Neurophysiology","This course gives students background in neuronal signaling, ion channels, and methods in electrophysiological recording methods. The course requires completion of neuro-simulation laboratories, which provide an introduction to biophysical modelling to explain the functions of neural systems. ","[Note: PHYS 111/112 are recommended; Offered: F]","Prereq: One of BIOL 273, BME 284, PSYCH 261, SYDE 384/584","",""
BIOL382,"Computational Modelling of Cellular Systems","An introduction to dynamic mathematical modeling of cellular processes.  The emphasis is on using computational tools to investigate differential equation-based models.  A variety of cellular phenomena are discussed, including ion pumps, membrane potentials, intercellular communication, genetic networks, regulation of metabolic pathways, and signal transduction. [Offered in the W of even numbered years.]","","Prereq: One of MATH 118, 119, 128, 138, 148; Third year standing in an Honours plan","",""
BIOL383,"Tropical Ecosystems","This course examines the fundamental concepts of terrestrial ecosystems in tropical climates. The course has three sections: (1) biophysical aspects (climate, location, landforms, soil, vegetation), (2) tropical resource systems (forest- and agroecosystems) within the framework of conventional and sustainable resource extraction, and (3) current conservation issues. Case studies are presented.","","Prereq: One of BIOL 150, 251, ENVS 200, ERS 218","",""
BIOL403,"Advanced Topics in Developmental Biology","This course explores the cellular and molecular basis of developmental phenomena in animals. Lectures will emphasize the experimental basis for both historical and contemporary knowledge with a focus on the major developmental systems in model organisms. Course content will concentrate on themes that permeate current published research. ","[Note: BIOL 208/309 is recommended as a prerequisite. Offered: F]","Prereq: BIOL 303, 308","",""
BIOL414,"Parasitology","This course will explore how parasites affect their host(s) and interact with other parasites. Attention will be given to eukaryotic parasites impacting human and domestic animal health. Public measures of parasite control will be covered.  [Offered: W]","","Prereq: BIOL 110, 359","",""
BIOL428,"Plant Molecular Genetics","An examination of the current molecular techniques used to study plant development physiology. Topics include mutant isolation, transcript and metabolite profiling, gene silencing and protein localization. ","[Note: BIOL 120/220 is recommended; Offered: W]","Prereq: BIOL 309","",""
BIOL431,"Bacterial Molecular Genetics","Bacterial molecular biology with an emphasis on the use of genetic tools to study the biology of microorganisms. Topics include mutagenesis, conjugation, recombination, gene regulation, plasmids, transposons, bacteriophage and genomics. [Offered: W]","","Prereq: BIOL 140/240, 140/240L, 208/309, 308","",""
BIOL432,"Molecular Biotechnology 2","How recombinant DNA technology is used to produce vaccines, pharmaceuticals, crop plants, and other commercial products will be discussed. [Offered: W]","","Prereq: BIOL 342","",""
BIOL433,"Plant Biotechnology","Biotechnological approaches and their applications in plant genetic manipulation, transformation and cell culture for plant improvement, propagation, and biochemical production. [Offered: F]","","Prereq: BIOL 120/220, 130, 239; Level at least 3A","",""
BIOL434,"Human Molecular Genetics","Recent advances in human molecular genetics will be examined with emphasis on how human disease-causing genes are mapped, identified, isolated and characterized. Examples will draw from research on Duchenne muscular dystrophy, Huntington disease, cystic fibrosis, Alzheimer disease, cancer, vision defects and other disorders. [Offered: F]","","Prereq: BIOL 208/309, 308","",""
BIOL438,"Molecular Biology of Animal Development","An examination of the current major issues in the regulation of gene expression during animal development with emphasis on technical and conceptual advances. Current research literature will be reviewed. [Offered: W]","","Prereq: BIOL 208/309, 303, 308","",""
BIOL439,"Environmental and Natural Products Biochemistry","This course deals with the functions, distribution and environmental ramifications of natural compounds produced by plants and other biological systems. Natural products are those compounds usually described as secondary metabolites, i.e. those apparently non-essential products whose physiological and ecological functions are either obscure or are of peripheral importance to the organism. However, many of these non-essential products have profound competitive, economic and pharmacological significance; and as research proceeds, their physiological roles within the parent organisms are becoming clearer. As well, this course has a strong emphasis on how environmental chemical and physical processes impact on living organisms and their biochemistry. [Offered: F]","","Prereq: CHEM 233 or 237; CHEM 264 or 266","",""
BIOL441,"Advances in Immunology","A survey of the recent advances in the vertebrate immune response; the cells and tissues of the lymphoid system; humoral and cell-mediated  immunity; initiation and regulation of the immune response; the immune system and disease, emerging techniques used in immunology. [Offered: W]","","Prereq: BIOL 308, 341","",""
BIOL442,"Virology","A survey of viral structures, life cycles, and the interactions of viruses with their hosts. The laboratory component will include procedures used for viral detection and titration, as well as individual library research projects. [Offered: W]","","Prereq: BIOL 140/240, 140/240L, 241,308, 341","",""
BIOL443,"Fermentation Biotechnology","Biology of industrial micro-organisms: fermentation systems; fermentation raw materials; downstream processing; biomass production; food fermentations; production of industrial chemicals, food additives, enzymes and other products by fermentation. [Offered: F]","","Prereq: BIOL 140/240, 140L/240L, 241","",""
BIOL444,"Bacterial Pathogenesis","A study of the bacteria involved in pathogenesis, their mode of infection, symptoms and prevention of diseases. The laboratory will focus on identification of bacterial isolates. [Offered: F]","","Prereq: BIOL 140/240, 140L/240L, 241, 341","",""
BIOL447,"Environmental Microbiology","A study of the environmental impact of microorganisms. Aspects of pollution, waste treatment, biodegradation of environmental contaminants, and nutrient cycling will be examined. [Offered: F]","","Prereq: BIOL 140/240, 140L/240L, 241","",""
BIOL448,"Microbial Physiology and Biochemistry","A study of the physiology of microorganisms. Provides biochemical- and molecular-level detail on the diverse structures and metabolic functions of bacterial, archaeal, and eukaryal cells. Aspects of microbial growth, nutrition, and metabolism are examined in the context of how microorganisms develop diverse solutions for meeting essential requirements for life. [Offered: F]","","Prereq: BIOL 140/240, 140/240L, 241, 308","",""
BIOL449,"Public Health Microbiology","How the health of human populations is influenced by microbial communities. Aspects of the epidemiology of infectious diseases, factors influencing the emergence of microbial pathogens and antibiotic-resistant strains, means to control undesired microbial populations in habitats such as water, biodegradable materials and food will be discussed. Approaches to the regulation and monitoring of microbial agents will also be examined. ","[Note: It is recommended that one or more of BIOL 341, BIOL 345, BIOL 444 or BIOL 447 be taken before or with BIOL 449. Offered: W]","Prereq: BIOL 241","",""
BIOL450,"Marine Biology","Ecological processes and evolutionary adaptation are explored in the worlds largest and most diverse ecosystems. The major ocean habitats will be characterized, stressing their importance as resources, moderators of climate and reservoirs of biodiversity. [Notes: Offered: W]","","Prereq: BIOL 150 or 251","",""
BIOL451,"Advanced Ecology and Evolution","Students will use scientific literature to explore and analyze a range of advanced topics in ecology and evolution at the individual, population, community, and ecosystem scales. Recent advances in understanding of fundamental concepts as well as current frontiers in the field will be examined through written reports, essays, and oral presentations.  [Offered: F]","","Prereq: BIOL 150 or 251; BIOL 359, 361","",""
BIOL452,"Quantitative Fisheries Biology","The practices of fisheries science including the effects of industrial fisheries on fish stocks; methods of capture, obtaining, using, and interpretation of vital statistics of fish stocks; population estimation; stock-recruitment; growth; mortality; and fecundity. Emphasis is placed on the use of statistical information for making ecological inferences about the status of fish populations. ","[Note: Familiarity with linear regression is essential. Offered: F]","Prereq: BIOL 150 or 251; STAT 202","",""
BIOL455,"Ecological Risk Assessment and Management","Examination of the use of scientific information characterizing the risks posed to the environment by anthropogenic stresses. Discussions will take place in the context of aquatic ecology and presume a background of standard aquatic toxicology methods. Methods for assessing risks, including environmental impact assessment, risk quotients, national, and international risk assessment paradigms, and cumulative effects assessment will be examined. Critical connections between assessment and management will also be discussed. [Offered: F of even years]","","Prereq: BIOL 150 or 251; BIOL 354, STAT 202","",""
BIOL456,"Population Biology","The analysis of the structure and dynamics of plant and animal populations. Theoretical, mathematical and experimental approaches to the study of population ecology. ","[Note: Students are advised that this course involves computer and numerical applications. Offered: F]","Prereq: BIOL 350; One of STAT 202, ECON 221, ENVS 278","",""
BIOL457,"Analysis of Communities","A study of the organization, structure and development of communities with emphasis on vegetation change. Topics include: diversity, stability; succession; sampling procedures and multivariate analysis. [Offered: W]","","Prereq: One of BIOL 150, 251, ENVS 200; One of STAT 202, ECON 221, ENVS 278","",""
BIOL458,"Quantitative Ecology","The course addresses the integration of mathematical and statistical tools to solve problems in ecology, using examples from individual, population, community, and ecosystem scales. Coursework will explore the relationships between models, hypotheses, experiments and data.","","Prereq: One of BIOL 150, 251, ENVS 200; One of STAT 202, ECON 221, ENVS 278","",""
BIOL461,"Advanced Biostatistics","Advanced aspects of statistics and experimental design for biologists. Topics will include analysis of variance (factorial, hierarchical and blocking designs; fixed- and random-effects models); a-priori and a-posteriori comparisons; multivariate analysis of variance; analysis of covariance; multiple linear regression; multivariate statistics (indirect and direct gradient analysis). [Offered: W]","","Prereq: BIOL 361; Not open to students in the Faculty of Mathematics.","",""
BIOL462,"Applied Wetland Science","Advanced concepts on wetland ecosystems in the context of regional and global earth systems processes such as carbon and nitrogen cycling and climate change, applications of wetland paleoecology, use of isotopes and other geochemical tools in wetland science, and wetland engineering in landscape rehabilitation and ecotechnology. Current issues in Canada and abroad will be examined. [Offered: F]","","Prereq: One of EARTH 221, 322, 358, BIOL 350, 351, ENVE 375, 376.","","Antireq: GEOG 405"
BIOL465,"Structural Bioinformatics","Analysis of proteins using structural and bioinformatics approaches. Topics include methods of protein structure determination and visualization, structure comparison and prediction, prediction of protein function and interactions, molecular dynamics, and protein design. [Offered: W]","","Prereq: BIOL 266/366 or BIOL 365; CHEM 233 or CHEM 237 or BCS Bioinformatics Specialization or BMath (CS) Bioinformatics Specialization","",""
BIOL469,"Genomics","An applied course on the computational exploration of genomes. Topics include comparative and evolutionary genomics, metagenomics, and genomics applications in health/medicine. The lab will involve analysis of genomic datasets using scripting and bioinformatic software. [Offered: F]","","Prereq: BIOL 239; BIOL 266/366 or BIOL 365","",""
BIOL470,"Methods of Aquatic Ecology","An introduction to methods used to sample and characterize the ecological structure and function of aquatic ecosystems, including basic aspects of the abiotic environment.  Field trips to lake and stream sites are combined with laboratory analysis of samples and data. While the main emphasis is on the techniques, the exercises also provide direct experience with some of the natural and anthropogenic variation observable in aquatic systems. ","[Note:  Formerly BIOL 460L. Field Trip fee of $60 is required toward the cost of transportation.Offered: F]","Prereq: BIOL 350 or 351","",""
BIOL472,"Cell Biology of Human Disease","This course focuses on the nature and mechanisms of disease processes. Abnormalities in the structure and function of cells, tissues and organs that underlie disease are explored. Emphasis is placed on current research aimed at understanding the mechanisms of disease and disease therapy, covering topics including inherited disorders, cellular pathology and immunology, diabetes and cancer. [Offered F]","","Prereq: BIOL 273, 331, 341","",""
BIOL473,"Mammalian Reproduction","This course will provide an in-depth coverage of reproductive biology in a range of mammalian species. Emphasis will be on the principles underlying the regulation of key reproductive processes, from the whole animal to the molecular level. Topics will include applications of these principles to human and veterinary medicine, and ethical problems posed by some reproductive technologies. [Offered: W]","","Prereq: BIOL 273, 373","",""
BIOL475,"Current Topics in Microbiology","Students will explore and analyze a variety of often controversial topics in microbiology as reflected in popular culture and the current scientific literature. This course involves significant in-class group work. An essay and presentations are required. [Offered W]","","Prereq: BIOL 241; Level at least 4A","",""
BIOL476,"Systems Neuroscience: From Neurons to Behaviour","Systems neuroscience attempts to explain complex functions of the nervous system in terms of underlying neural circuits. The course focuses on how neural circuits analyze sensory information, form perceptions, make decisions, and execute movements, as well as contribute to high-level mental functions such as language, memory, and self-awareness. ","[Note: BIOL 376 is recommended. Offered: F]","Prereq: One of BIOL 273, BME 284, PSYCH 261, SYDE 384/584.","","Antireq: BIOL 377"
BIOL477L,"Techniques in Animal Physiology","Laboratory exercises and computer-based data collection to study the functions of the cardiovascular, respiratory, nervous, digestive, and excretory systems of vertebrates and invertebrate animals. Students will learn animal handling techniques, data collection with state of the art physiological equipment, and data analysis using computer software. Tutorials will allow students to investigate and discuss current animal physiology research topics in greater detail. [Formerly BIOL 374L. Offered: W]","","","Coreq: BIOL 370, 371",""
BIOL479,"Population Genetics and Evolution","This course provides an overview of the interplay among mutation, random and non-random mating, genetic drift, gene flow, and selection within and among natural populations. Special emphasis is placed on the dynamic role these factors play in the process of population divergence, and ultimately speciation. Case studies will illustrate the application of population genetic methodology in fields such as ecology, conservation biology, and forensic sciences. [Offered: F]","","Prereq: BIOL 139/239, 359","",""
BIOL483,"Animal Cell Biotechnology","A study of the techniques and applications of animal cell culture to biotechnology. Topics include basic cell culture technique, gene modification, products of animal cell culture, large-scale productions, and tissue engineering. [Offered: W]","","Prereq: BIOL 342","",""
